0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:22 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7051
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:38 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:43 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:47 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 4697
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:49 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:53 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7043
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:54:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:55:16 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:55:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
